CEP,CIDADE,BAIRRO,ENDEREÇO,COMPLEMENTO
60020185,Fortaleza/CE,Benfica,Avenida José Bastos - até 2799 - lado ímpar,
60020190,Fortaleza/CE,Benfica,Rua Caio Carlos,
60020200,Fortaleza/CE,Benfica,Rua Quixadá,
60020210,Fortaleza/CE,Benfica,Vila Santa Mariana,
60020220,Fortaleza/CE,Benfica,Vila Bruno,
60020230,Fortaleza/CE,Benfica,Vila Vitória,
60020240,Fortaleza/CE,Benfica,Rua Aracati,
60020250,Fortaleza/CE,Benfica,Vila Arteiro,
60020260,Fortaleza/CE,Benfica,Vila Royal,
60020270,Fortaleza/CE,Benfica,Rua Paulino Nogueira,
60020280,Fortaleza/CE,Benfica,Rua Professor José Mendes,
60020290,Fortaleza/CE,Benfica,Rua Padre Francisco Pinto,
60020292,Fortaleza/CE,Benfica,Travessa José Bastos,
60020295,Fortaleza/CE,Benfica,Avenida José Jatahy - de 1901 ao fim - lado ímpar,
60020300,Fortaleza/CE,Benfica,Rua Costa Sousa,
60020310,Fortaleza/CE,Benfica,Vila Triunfo,
60020320,Fortaleza/CE,Benfica,Rua Padre João Wassen,
60020330,Fortaleza/CE,Benfica,Rua Adolfo Herbster,
60020340,Fortaleza/CE,Benfica,Vila Rufino Coelho,
60020350,Fortaleza/CE,Benfica,Rua Antenor Frota Wanderley,
60020351,Fortaleza/CE,Benfica,Avenida Eduardo Girão - lado par,
60020355,Fortaleza/CE,Benfica,Rua Padre Cícero - até 298/299,
60020360,Fortaleza/CE,Benfica,Rua Joaquim Feijó,
60020370,Fortaleza/CE,Benfica,Praça Abolicionista Isaac Amaral,
60020380,Fortaleza/CE,Benfica,Vila Antônio Augusto,
60020390,Fortaleza/CE,Centro,Travessa da Lagoinha,
60020400,Fortaleza/CE,Benfica,Praça Presidente Vargas,
60020410,Fortaleza/CE,Benfica,Vila Santana,
60020903,Fortaleza/CE,Benfica,Avenida da Universidade 2853 , Universidade Federal do Ceará (UFC - Reitoria)
60020973,Fortaleza/CE,Centro,Rua Vinte e Quatro de Maio 444 Loja 200/203 , ACC Shopping Metrô
60025000,Fortaleza/CE,Centro,Rua Senador Pompeu - até 1819/1820,
60025001,Fortaleza/CE,José Bonifácio,Rua Senador Pompeu - de 1821/1822 a 2729/2730,
60025002,Fortaleza/CE,Benfica,Rua Senador Pompeu - de 2731/2732 ao fim,
60025010,Fortaleza/CE,Benfica,Rua Temístocles Machado,
60025020,Fortaleza/CE,José Bonifácio,Vila Rosinha,
60025030,Fortaleza/CE,José Bonifácio,Vila Tijuca,
60025040,Fortaleza/CE,Centro,Galeria São Bernardo,
60025050,Fortaleza/CE,Centro,Galeria Professor Brandão,
60025060,Fortaleza/CE,Centro,Rua Barão do Rio Branco - até 1878/1879,
60025061,Fortaleza/CE,José Bonifácio,Rua Barão do Rio Branco - de 1880/1881 a 2828/2829,
60025062,Fortaleza/CE,Fátima,Rua Barão do Rio Branco - de 2830/2831 ao fim,
60025065,Fortaleza/CE,Fátima,Rua Major Facundo - de 2300/2301 ao fim,
60025068,Fortaleza/CE,Fátima,Rua Floriano Peixoto - de 2390/2391 ao fim,
60025070,Fortaleza/CE,Centro,Galeria Leal de Castro,
60025080,Fortaleza/CE,José Bonifácio,Vila Lopes,
60025090,Fortaleza/CE,Centro,Galeria São Luís,
60025100,Fortaleza/CE,Centro,Rua Major Facundo - até 1378/1379,
60025101,Fortaleza/CE,José Bonifácio,Rua Major Facundo - de 1380/1381 a 2298/2299,
60025102,Fortaleza/CE,José Bonifácio,Travessa Ouvidor,
60025103,Fortaleza/CE,José Bonifácio,Travessa Conselheiro Quindere,
60025110,Fortaleza/CE,José Bonifácio,Rua Santa Maria,
60025120,Fortaleza/CE,Centro,Travessa Pará,
60025130,Fortaleza/CE,Centro,Rua Floriano Peixoto - até 1458/1459,
60025131,Fortaleza/CE,José Bonifácio,Rua Floriano Peixoto - de 1460/1461 a 2388/2389,
60025140,Fortaleza/CE,Centro,Travessa Morada Nova,
60025150,Fortaleza/CE,José Bonifácio,Rua do Sereno,
60025160,Fortaleza/CE,José Bonifácio,Vila Oscar Vieira,
60025170,Fortaleza/CE,Centro,Galeria Marcílio Dias,
60025180,Fortaleza/CE,Centro,Praça do Carmo,
60025190,Fortaleza/CE,Centro,Vila Dona Júlia,
60025200,Fortaleza/CE,Benfica,Rua Leandro Monteiro,
60025205,Fortaleza/CE,Benfica,Rua Padre Miguelinho - de 1401/1402 ao fim,
60025210,Fortaleza/CE,Benfica,Rua Manuelito Moreira,
60025220,Fortaleza/CE,Fátima,Praça Waldir Diogo Siqueira,
60025230,Fortaleza/CE,Centro,Praça do Ferreira,
60025900,Fortaleza/CE,Benfica,Rua Senador Pompeu 2508 , Condomínio Liege
60025902,Fortaleza/CE,Centro,Rua Senador Pompeu 1520 , Farmácia Pague Menos
60025903,Fortaleza/CE,Centro,Rua Barão do Rio Branco 1071 , Edifício Lobrás
60025905,Fortaleza/CE,Centro,Rua Barão do Rio Branco 1515 , Banco do Brasil S.A. - Agência Centro
60030000,Fortaleza/CE,Centro,Rua Doutor João Moreira,
60030010,Fortaleza/CE,Centro,Rua Castro e Silva,
60030020,Fortaleza/CE,Centro,Praça Castro Carreira,
60030030,Fortaleza/CE,Centro,Rua Sobral,
60030040,Fortaleza/CE,Centro,Travessa Crato,
60030050,Fortaleza/CE,Centro,Rua Senador Alencar - até 811/812,
60030051,Fortaleza/CE,Centro,Rua Senador Alencar - de 813/814 ao fim,
60030052,Fortaleza/CE,Centro,Travessa Nova Olinda,
60030060,Fortaleza/CE,Centro,Vila Ideal,
60030070,Fortaleza/CE,Centro,Vila Fortaleza,
60030080,Fortaleza/CE,Centro,Galeria Viçosa,
60030090,Fortaleza/CE,Centro,Rua Visconde de Sabóia,
60030100,Fortaleza/CE,Centro,Rua São Paulo - até 1003/1004,
